generated_at,2026-05-27 19:28:53 UTC,,,,,,,,,,
source_server,pethubonline.com,,,,,,,,,,
git_commit,e639440 Phase 9H: Sitemap/Taxonomy Recovery + Dog Food Publishing,,,,,,,,,,
generated_by,gen_phase9i.py,,,,,,,,,,
data_source_label,WordPress REST API v2 + Live HTML + post-sitemap.xml,,,,,,,,,,

Post ID,Source Slug,Link URL,Anchor Text,Rel,HTTP Status,Hub-Spoke,Draft/Trash Check,Pet Insurance Gate,Link Type
3838,dry-vs-wet-dog-food-uk,https://www.facebook.com/profile.php?id=61589626250701,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://x.com/online_hub88911,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://www.instagram.com/pethubonline1,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://www.facebook.com/profile.php?id=61589626250701,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://x.com/online_hub88911,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://uk.pinterest.com/PetHubOnline/,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://www.instagram.com/pethubonline1,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://bsky.app/profile/pethubonline.bsky.social,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://www.linkedin.com/in/jason-parr-792238406/,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://www.youtube.com/@PetHubOnline,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://cookiedatabase.org/tcf/purposes/,Read more about these purposes,noopener noreferrer nofollow,EXTERNAL,N/A,OK,OK,External
3837,best-dry-dog-food-uk,https://pethubonline.com/,,home,200,No,OK,OK,Internal
3837,best-dry-dog-food-uk,https://pethubonline.com/,Home,,200,No,OK,OK,Internal
3837,best-dry-dog-food-uk,https://pethubonline.com/dog-supplies/,Dog Supplies,,200,No,OK,OK,Internal
3837,best-dry-dog-food-uk,https://pethubonline.com/dog-toys/,Dog Toys,,200,No,OK,OK,Internal
3837,best-dry-dog-food-uk,https://pethubonline.com/dog-beds/,Dog Beds,,200,No,OK,OK,Internal
